Entity,Subcategory,Trust
The civil service,Do not know or prefer not to say,5
The civil service,Do not trust,24
The civil service,Neutral,16
The civil service,Trust,55
Local government,Do not know or prefer not to say,2
Local government,Do not trust,39
Local government,Neutral,17
Local government,Trust,42
The UK government*,Do not know or prefer not to say,1
The UK government*,Do not trust,50
The UK government*,Neutral,16
The UK government*,Trust,33
Parliament,Do not know or prefer not to say,2
Parliament,Do not trust,46
Parliament,Neutral,18
Parliament,Trust,34
The political parties,Do not know or prefer not to say,1
The political parties,Do not trust,60
The political parties,Neutral,19
The political parties,Trust,20
